,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
56,Martin Ruben S,"Pres, CEO, 10%",P - Purchase,MMLP,$1.16,"+7,684","+$8,927","6,557,119",0%,2020-04-23 15:59:44,2020-04-21
57,George David C,"EVP, COO",P - Purchase,DRI,$58.50,"+4,273","+$249,971","64,928",+7%,2020-04-23 15:59:26,2020-04-23
58,Shoup Scot A,SVP Operations,P - Purchase,MMLP,$1.16,"+3,111","+$3,615","15,037",+26%,2020-04-23 15:59:23,2020-04-21
59,Fogarty James P,Dir,P - Purchase,DRI,$58.50,"+4,273","+$249,971","17,629",+32%,2020-04-23 15:59:21,2020-04-23
60,Sonsteby Charles M,Dir,P - Purchase,DRI,$58.50,"+12,820","+$749,970","22,242",+136%,2020-04-23 15:59:05,2020-04-23
61,Bondurant Robert D,"EVP, CFO",P - Purchase,MMLP,$1.16,"+5,018","+$5,830","99,864",+5%,2020-04-23 15:59:02,2020-04-21
62,Wilmott Timothy J,Dir,P - Purchase,DRI,$58.50,"+17,094","+$999,999","17,094",New,2020-04-23 15:57:45,2020-04-23
63,Lee Eugene I Jr,"Pres, CEO",P - Purchase,DRI,$58.50,"+25,641","+$1,499,999","177,264",+17%,2020-04-23 15:57:41,2020-04-23
64,Hansen John B,Dir,S - Sale,MLI,$24.76,"-1,000","-$24,761","58,107",-2%,2020-04-23 15:45:57,2020-04-23
65,Brody Mark S,Dir,P - Purchase,UNTY,$11.74,+295,"+$3,463","410,964",0%,2020-04-23 15:42:53,2020-04-22
66,Schuler Jack W,"Dir, 10%",P - Purchase,AXDX,$9.01,"+79,650","+$717,647","15,517,958",+1%,2020-04-23 15:36:05,2020-04-21
67,Adelman Jason T,Dir,P - Purchase,OBLG,$0.90,"+20,000","+$18,080","496,000",+4%,2020-04-23 15:08:23,2020-04-22
68,Gerber Murry,Dir,P - Purchase,HAL,$8.68,"+350,000","+$3,038,000","574,879",+156%,2020-04-23 14:26:05,2020-04-23
69,"Sumitomo Chemical Co., Ltd.",10%,P - Purchase,MYOV,$11.76,"+100,200","+$1,177,870","47,779,104",0%,2020-04-23 14:21:26,2020-04-21
70,Anderson William Carl III,Dir,P - Purchase,OTIVF,$0.20,"+960,000","+$192,000","2,060,000",+87%,2020-04-23 14:06:46,2020-04-22
71,Thompson G Kennedy,Dir,P - Purchase,PNFP,$34.86,"+5,000","+$174,300","21,826",+30%,2020-04-23 13:52:13,2020-04-23
72,Naujokas Leonard Frank,"Controller, CAO",P - Purchase,VOLT,$0.84,"+5,952","+$5,000","10,151",+142%,2020-04-23 13:29:31,2020-04-23
73,Perri Gerard A,"EVP, COO",P - Purchase,MCB,$22.48,+500,"+$11,240","8,352",+6%,2020-04-23 13:28:05,2020-04-23
74,Shaw Thomas J,"Pres, CEO, 10%",P - Purchase,RVP,$3.01,+400,"+$1,204","18,852,706",0%,2020-04-23 12:48:47,2020-04-22
75,Murphy James P.,EVP,S - Sale,COST,$310.00,"-5,000","-$1,550,000","37,771",-12%,2020-04-23 12:43:13,2020-04-22
76,Avedissian Nancy T,"SVP, Chief Legal Ofcer, CorpSe",P - Purchase,VOLT,$0.80,"+5,000","+$4,000","41,715",+14%,2020-04-23 12:32:24,2020-04-23
77,Myriam Curet,"EVP, Chief Medical Officer",S - Sale+OE,ISRG,$503.76,"-3,000","-$1,511,280","3,066",-49%,2020-04-23 12:23:14,2020-04-22
78,Cat Rock Capital Management LP,10%,S - Sale,SHSP,$6.81,"-53,412","-$363,677","1,228,923",-4%,2020-04-23 11:50:08,2020-04-22
79,Barnes Michael Gene,"Exec COB, 10%",P - Purchase,TIPT,$5.14,"+5,542","+$28,503","8,369,974",0%,2020-04-23 09:48:04,2020-04-21
80,Bell Sandra,CFO,S - Sale,TIPT,$5.19,-400,"-$2,074","39,035",-1%,2020-04-23 09:45:16,2020-04-21
81,Lichtenstein Warren G,"Exec COB, 10%",P - Purchase,SPLP,$4.82,"+5,106","+$24,602","10,044,754",0%,2020-04-23 06:00:42,2020-04-20
